R ,64 ,C ,64 ,N ,220 ,D ,25,Rate ,1.000772,T ,8.824000 ,
R ,64 ,C ,64 ,N ,220 ,D ,30,Rate ,1.000771,T ,12.341000 ,
R ,64 ,C ,64 ,N ,240 ,D ,1,Rate ,1.000142,T ,1.385000 ,
R ,64 ,C ,64 ,N ,240 ,D ,2,Rate ,1.000000,T ,1.391000 ,
R ,64 ,C ,64 ,N ,240 ,D ,3,Rate ,1.000141,T ,1.509000 ,
R ,64 ,C ,64 ,N ,240 ,D ,4,Rate ,1.000000,T ,1.443000 ,
R ,64 ,C ,64 ,N ,240 ,D ,5,Rate ,1.000070,T ,1.574000 ,
R ,64 ,C ,64 ,N ,240 ,D ,6,Rate ,1.000000,T ,1.826000 ,
R ,64 ,C ,64 ,N ,240 ,D ,8,Rate ,1.000142,T ,2.046000 ,
R ,64 ,C ,64 ,N ,240 ,D ,10,Rate ,1.000142,T ,2.159000 ,
R ,64 ,C ,64 ,N ,240 ,D ,12,Rate ,1.000283,T ,2.423000 ,
R ,64 ,C ,64 ,N ,240 ,D ,14,Rate ,1.000355,T ,3.057000 ,
R ,64 ,C ,64 ,N ,240 ,D ,16,Rate ,1.000071,T ,3.056000 ,
R ,64 ,C ,64 ,N ,240 ,D ,18,Rate ,1.000565,T ,3.848000 ,
R ,64 ,C ,64 ,N ,240 ,D ,20,Rate ,1.000283,T ,4.166000 ,
R ,64 ,C ,64 ,N ,240 ,D ,25,Rate ,1.000848,T ,7.185000 ,
R ,64 ,C ,64 ,N ,240 ,D ,30,Rate ,1.001062,T ,16.131000 ,
R ,64 ,C ,64 ,N ,260 ,D ,1,Rate ,1.000000,T ,1.481000 ,
R ,64 ,C ,64 ,N ,260 ,D ,2,Rate ,1.000131,T ,1.682000 ,
R ,64 ,C ,64 ,N ,260 ,D ,3,Rate ,1.000065,T ,1.809000 ,
R ,64 ,C ,64 ,N ,260 ,D ,4,Rate ,1.000262,T ,1.699000 ,
R ,64 ,C ,64 ,N ,260 ,D ,5,Rate ,1.000065,T ,1.807000 ,
R ,64 ,C ,64 ,N ,260 ,D ,6,Rate ,1.000327,T ,1.906000 ,
R ,64 ,C ,64 ,N ,260 ,D ,8,Rate ,1.000261,T ,2.098000 ,
R ,64 ,C ,64 ,N ,260 ,D ,10,Rate ,1.000065,T ,2.239000 ,
R ,64 ,C ,64 ,N ,260 ,D ,12,Rate ,1.000196,T ,2.668000 ,
R ,64 ,C ,64 ,N ,260 ,D ,14,Rate ,1.000065,T ,3.096000 ,
R ,64 ,C ,64 ,N ,260 ,D ,16,Rate ,1.000261,T ,3.807000 ,
R ,64 ,C ,64 ,N ,260 ,D ,18,Rate ,1.000261,T ,5.220000 ,
R ,64 ,C ,64 ,N ,260 ,D ,20,Rate ,1.000522,T ,5.281000 ,
R ,64 ,C ,64 ,N ,260 ,D ,25,Rate ,1.000262,T ,7.087000 ,
R ,64 ,C ,64 ,N ,260 ,D ,30,Rate ,1.000784,T ,22.733000 ,
R ,64 ,C ,64 ,N ,280 ,D ,1,Rate ,1.000000,T ,1.789000 ,
R ,64 ,C ,64 ,N ,280 ,D ,2,Rate ,1.000122,T ,1.779000 ,
R ,64 ,C ,64 ,N ,280 ,D ,3,Rate ,1.000061,T ,1.935000 ,
R ,64 ,C ,64 ,N ,280 ,D ,4,Rate ,1.000061,T ,1.929000 ,
R ,64 ,C ,64 ,N ,280 ,D ,5,Rate ,1.000061,T ,2.009000 ,
R ,64 ,C ,64 ,N ,280 ,D ,6,Rate ,1.000061,T ,2.221000 ,
R ,64 ,C ,64 ,N ,280 ,D ,8,Rate ,1.000121,T ,2.522000 ,
R ,64 ,C ,64 ,N ,280 ,D ,10,Rate ,1.000181,T ,2.874000 ,
