R ,64,C ,64,N ,400,D ,10,Rate ,1.014875,T ,2.401
R ,64,C ,64,N ,400,D ,12,Rate ,1.017019,T ,3.646
R ,64,C ,64,N ,400,D ,14,Rate ,1.01206,T ,5.121
R ,64,C ,64,N ,400,D ,16,Rate ,1.012333,T ,6.783
R ,64,C ,64,N ,400,D ,18,Rate ,1.013497,T ,8.401
R ,64,C ,64,N ,400,D ,20,Rate ,1.010012,T ,9.503
R ,64,C ,64,N ,400,D ,25,Rate ,1.013886,T ,24.565
R ,64,C ,64,N ,400,D ,30,Rate ,1.011244,T ,40.98
R ,64,C ,64,N ,450,D ,1,Rate ,1.055556,T ,0.852
R ,64,C ,64,N ,450,D ,2,Rate ,1.054441,T ,0.736
R ,64,C ,64,N ,450,D ,3,Rate ,1.030242,T ,0.793
R ,64,C ,64,N ,450,D ,4,Rate ,1.026619,T ,0.848
R ,64,C ,64,N ,450,D ,5,Rate ,1.024419,T ,1.163
R ,64,C ,64,N ,450,D ,6,Rate ,1.025245,T ,1.652
R ,64,C ,64,N ,450,D ,8,Rate ,1.023271,T ,2.416
R ,64,C ,64,N ,450,D ,10,Rate ,1.01998,T ,3.912
R ,64,C ,64,N ,450,D ,12,Rate ,1.018042,T ,4.984
R ,64,C ,64,N ,450,D ,14,Rate ,1.016057,T ,6.966
R ,64,C ,64,N ,450,D ,16,Rate ,1.020628,T ,9.837
R ,64,C ,64,N ,450,D ,18,Rate ,1.015304,T ,13.947
R ,64,C ,64,N ,450,D ,20,Rate ,1.013855,T ,15.52
R ,64,C ,64,N ,450,D ,25,Rate ,1.017633,T ,46.986
R ,64,C ,64,N ,450,D ,30,Rate ,1.016667,T ,93.145
R ,64,C ,64,N ,500,D ,1,Rate ,1.076,T ,1.177
R ,64,C ,64,N ,500,D ,2,Rate ,1.051033,T ,0.833
R ,64,C ,64,N ,500,D ,3,Rate ,1.040414,T ,1.087
R ,64,C ,64,N ,500,D ,4,Rate ,1.020649,T ,1.03
R ,64,C ,64,N ,500,D ,5,Rate ,1.026164,T ,1.563
R ,64,C ,64,N ,500,D ,6,Rate ,1.027928,T ,1.991
R ,64,C ,64,N ,500,D ,8,Rate ,1.027835,T ,3.984
R ,64,C ,64,N ,500,D ,10,Rate ,1.023166,T ,5.369
R ,64,C ,64,N ,500,D ,12,Rate ,1.020876,T ,7.186
R ,64,C ,64,N ,500,D ,14,Rate ,1.017663,T ,10.551
R ,64,C ,64,N ,500,D ,16,Rate ,1.020182,T ,15.582
R ,64,C ,64,N ,500,D ,18,Rate ,1.017025,T ,18.91
R ,64,C ,64,N ,500,D ,20,Rate ,1.024148,T ,32.109
R ,64,C ,64,N ,500,D ,25,Rate ,1.017647,T ,56.751
R ,64,C ,64,N ,500,D ,30,Rate ,1.019711,T ,131.173
R ,64,C ,64,N ,550,D ,1,Rate ,1.125455,T ,1.97
R ,64,C ,64,N ,550,D ,2,Rate ,1.04729,T ,1.101
R ,64,C ,64,N ,550,D ,3,Rate ,1.026587,T ,1.272
R ,64,C ,64,N ,550,D ,4,Rate ,1.036388,T ,1.472
R ,64,C ,64,N ,550,D ,5,Rate ,1.033333,T ,2.109
R ,64,C ,64,N ,550,D ,6,Rate ,1.023846,T ,2.584
R ,64,C ,64,N ,550,D ,8,Rate ,1.030271,T ,4.107
R ,64,C ,64,N ,550,D ,10,Rate ,1.026826,T ,6.641
R ,64,C ,64,N ,550,D ,12,Rate ,1.024979,T ,9.774
R ,64,C ,64,N ,550,D ,14,Rate ,1.020951,T ,14.741
R ,64,C ,64,N ,550,D ,16,Rate ,1.020871,T ,18.108
R ,64,C ,64,N ,550,D ,18,Rate ,1.020664,T ,28.633
R ,64,C ,64,N ,550,D ,20,Rate ,1.017497,T ,36.525
R ,64,C ,64,N ,550,D ,25,Rate ,1.024144,T ,96.315
R ,64,C ,64,N ,600,D ,1,Rate ,1.075,T ,1.836
R ,64,C ,64,N ,600,D ,2,Rate ,1.057895,T ,1.317
R ,64,C ,64,N ,600,D ,3,Rate ,1.057753,T ,1.573
R ,64,C ,64,N ,600,D ,4,Rate ,1.034026,T ,1.734
R ,64,C ,64,N ,600,D ,5,Rate ,1.039872,T ,2.361
R ,64,C ,64,N ,600,D ,6,Rate ,1.038082,T ,3.352
R ,64,C ,64,N ,600,D ,8,Rate ,1.036434,T ,6.493
R ,64,C ,64,N ,600,D ,10,Rate ,1.028799,T ,9.094
R ,64,C ,64,N ,600,D ,12,Rate ,1.028264,T ,13.169
R ,64,C ,64,N ,600,D ,14,Rate ,1.028854,T ,21.106
